source,url,status,date
American Journal of PharmTech Research,http://www.ajptr.com/,200.0,"July 15, 2021"
American Journal of Phytomedicine and Clinical Therapeutics,http://www.ajpct.org/,200.0,"July 15, 2021"
American Journal of Research Communication,http://www.usa-journals.com/,200.0,"July 15, 2021"
American Journal of Scientific Research,http://www.americanjournalofscientificresearch.com/,200.0,"July 15, 2021"
American Journal of Social issues and Humanities ,http://www.ajsih.org/index.php/ajsih,301.0,"July 15, 2021"
American Research Thoughts,http://researchthoughts.us/Default.aspx,302.0,"July 15, 2021"
"American Scientific Research Journal for Engineering, Technology, and Sciences",http://asrjetsjournal.org/,302.0,"July 15, 2021"
American Transactions on Engineering & Applied Sciences,http://tuengr.com/ATEAS/index.html,301.0,"July 15, 2021"
Anglisticum,http://www.anglisticum.mk/index.php,200.0,"July 15, 2021"
Annals of EURASIAN MEDICIN,http://www.aemed.eu/en/index.php,,"July 15, 2021"
Annals of British Medical Sciences,http://abmsj.co.uk/index.htm,200.0,"July 15, 2021"
Annals of Clinical Case Reports,http://anncaserep.com/,301.0,"July 15, 2021"
Annals of International Medical and Dental Research,http://aimdrjournal.com/,302.0,"July 15, 2021"
Annals of Medical and Biomedical Sciences,http://ambs-journal.co.uk/,200.0,"July 15, 2021"
Annals of Phytomedicine,http://ukaazpublications.com/publications/index.php,301.0,"July 15, 2021"
Applied Research Journal,http://arjournal.org/,301.0,"July 15, 2021"
Archives Des Sciences Journal,http://www.sciencesarchive.com/,200.0,"July 15, 2021"
Archives of Clinical and Experimental Surgery,http://www.acesjournal.org/,,"July 15, 2021"
indexed by DOAJ,https://doaj.org/toc/2146-8133,200.0,"July 15, 2021"
ARNACA American Journal of Advances in Medical Science,http://arnaca.com/,302.0,"July 15, 2021"
ARPN Journal of Science and Technology,http://ejournalofscience.org/,,"July 15, 2021"
ARPN Journal of Systems and Software,http://www.scientific-journals.org/,301.0,"July 15, 2021"
"Asia Pacific Journal of Education, Arts and Sciences",http://apjeas.apjmr.com/,200.0,"July 15, 2021"
Asia Pacific Journal of Multidisciplinary Research,http://www.apjmr.com/,200.0,"July 15, 2021"
Asian Pacific Journal of Natural Products,http://ainstin.com/asian-pacific-journal-of-natural-products,302.0,"July 15, 2021"
Asian Pacific Journal of Pharmacy and Phytochemistry,http://apjpp.com/,301.0,"July 15, 2021"
Asia-Pacific Journal of Research,http://apjor.com/index.php,,"July 15, 2021"
Asian Journal of Applied Science and Engineering,http://ajase.weebly.com/,301.0,"July 15, 2021"
Asian Journal of Biomedical and Pharmaceutical Sciences,http://www.jbiopharm.com/index.php/ajbp,301.0,"July 15, 2021"
Asian Journal of Chemistry,http://www.asianjournalofchemistry.co.in/Home.aspx,200.0,"July 15, 2021"
Asian Journal of Health and Medical Sciences,http://www.ajhms.org/,200.0,"July 15, 2021"
Asian Journal of Humanities and Social Sciences,http://ajhss.org/,,"July 15, 2021"
Asian Journal of Business and Management Sciences,http://www.ajbms.org/index.php,302.0,"July 15, 2021"
Asian Journal of Mathematics and Applications,http://scienceasia.asia/index.php/ama,200.0,"July 15, 2021"
Asian Journal of Multidisciplinary Studies,http://www.ajms.co.in/sites/ajms/index.php/ajms,,"July 15, 2021"
Asian Journal of Pharmaceutical and Health Sciences,http://ajphs.com/,200.0,"July 15, 2021"
Asian Journal of Pharmacy and Life Science,http://www.ajpls.com/index.html,404.0,"July 15, 2021"
Asian Journal of Pharmaceutical Research and Health Care,http://jprhc.in/index.php,302.0,"July 15, 2021"
Asian Journal of Science and Technology,http://www.journalajst.com/,406.0,"July 15, 2021"
Asian Pacific Journal of Health Sciences,http://www.apjhs.com/index.html,406.0,"July 15, 2021"
Asian Pacific Journal of Tropical Disease,http://www.apjtcm.com/,200.0,"July 15, 2021"
Asian Research Journal of Business Management,http://www.arjbm.com/index.php,406.0,"July 15, 2021"
Australasian Journal of Herpetology,http://www.smuggled.com/AJHFP1.htm,200.0,"July 15, 2021"
Australasian Medical Journal,http://www.amj.net.au/index.php?journal=AMJ,,"July 15, 2021"
DOAJ,https://doaj.org/toc/1836-1935,404.0,"July 15, 2021"
JCR,https://mjl.clarivate.com:/search-results?issn=1836-1935,200.0,"July 15, 2021"
Australian Journal of Basic and Applied Sciences,http://www.ajbasweb.com/,200.0,"July 15, 2021"
Australian Journal of Business and Management Research,http://www.ajbmr.com/index.php,200.0,"July 15, 2021"
Astronomical Review,http://journals.ke-i.org/index.php/AstRv,301.0,"July 15, 2021"
Averroes European Medical Journal,http://www.averroes-emj.com/,200.0,"July 15, 2021"
Ayupharm: International Journal of Ayurveda and Allied Sciences,http://www.ayurpharm.com/,200.0,"July 15, 2021"
Ayushdhar,http://ayushdhara.in/index.php/ayushdhara,200.0,"July 15, 2021"
Bio Bulletin,http://www.biobulletin.com/,301.0,"July 15, 2021"
Bioinformation,http://bioinformation.net/,200.0,"July 15, 2021"
Biointerface Research in Applied Chemistry,http://biointerfaceresearch.com/,200.0,"July 15, 2021"
Biomaterials and Tissue Engineering Bulletin,http://btebulletin.com/,200.0,"July 15, 2021"
Biomedical & Pharmacology Journa,http://www.biomedpharmajournal.org/,406.0,"July 15, 2021"
Biomedical Engineering Review,http://journals.ke-i.org/index.php/bme,301.0,"July 15, 2021"
Bionano Frontier,http://bionanofrontier.org/,200.0,"July 15, 2021"
Biopharm Journal,http://www.biopharmj.com/,302.0,"July 15, 2021"
The Bioscan,http://www.thebioscan.in/index.htm,,"July 15, 2021"
Bioresearch Bulletin,http://bioresonline.org/,200.0,"July 15, 2021"
Bioscience and Bioengineering Communications,http://www.bioscibioeng.com/,,"July 15, 2021"
Bioscience Biotechnology Research Communications,http://www.bbrc.in/,301.0,"July 15, 2021"
Bioscience Discovery,http://biosciencediscovery.com/index.html#gsc.tab=0,200.0,"July 15, 2021"
"Biosciences, Biotechnology Research Asia",http://www.biotech-asia.org/,406.0,"July 15, 2021"
Biosciences International,http://biosciencesjournal.info/index.php/biointl/,301.0,"July 15, 2021"
Biotechnological Research,http://www.biotechnologicalresearch-journal.com/,302.0,"July 15, 2021"
Botany Journal,http://plantsjournal.com/,301.0,"July 15, 2021"
British Biomedical Bulletin,http://bbbulletin.org/,301.0,"July 15, 2021"
"British Journal of Economics, Finance and Management Sciences",http://www.ajournal.co.uk/BJEFM.htm,200.0,"July 15, 2021"
British Journal of Interdisciplinary Studies,http://www.bjis-online.org/index.php/bjis,,"July 15, 2021"
British Journal of Medical and Health Research,http://www.bjmhr.com/index.php,200.0,"July 15, 2021"
British Journal of Science,http://www.ajournal.co.uk/index.htm,,"July 15, 2021"
Buletin Teknologi Makanan,http://www.btmjournal.com/index.html,,"July 15, 2021"
Bulletin of Applied and Research Science,http://www.barsjournal.net/,,"July 15, 2021"
"Bulletin of Environment, Pharmacology and Life Sciences",http://bepls.com/index.html,200.0,"July 15, 2021"
JCR,http://mjl.clarivate.com/cgi-bin/jrnlst/jlresults.cgi?PC=MASTER&ISSN=2277-1808,301.0,"July 15, 2021"
Bulletin of Mathematical Sciences & Applications,http://www.bmsa.us/index.php,,"July 15, 2021"
Bulletin of Pharmaceutical Research,http://journal.appconnect.in/,200.0,"July 15, 2021"
Bulletin of Society for Mathematical Services and Standards,http://www.jsomass.com/index.php,200.0,"July 15, 2021"
Business and Economics Journal,http://www.irbejournal.com/,200.0,"July 15, 2021"
"The Business Review, Cambridge",http://www.jaabc.com/brc.html,200.0,"July 15, 2021"
Calodema,http://www.calodema.com/,,"July 15, 2021"
Canadian Chemical Transactions,http://canchemtrans.ca/,403.0,"July 15, 2021"
Canadian International Journal of Science and Technology,http://www.tcsse.org/#!journal/ct84,,"July 15, 2021"
Canadian Journal of Basic and Applied Sciences,http://www.cjbas.com/,403.0,"July 15, 2021"
Canadian Journal of Biotechnology,http://www.canadianjbiotech.com/index.php,302.0,"July 15, 2021"
Canadian Journal of Pure and Applied Sciences,http://www.cjpas.net/,406.0,"July 15, 2021"
Canadian Scientific Journal,http://csjournal.ca/,200.0,"July 15, 2021"
Cancer Research Frontiers,http://cancer-research-frontiers.org/,200.0,"July 15, 2021"
Cardiology and Cardiovascular Medicine,http://www.cardiolcardiovascmed.com/,403.0,"July 15, 2021"
Caribbean Journal of Science and Technology,http://caribjscitech.com/,200.0,"July 15, 2021"
Case Study and Case Report,http://www.scopemed.org/?jid=23,301.0,"July 15, 2021"
Caspian Sea Journal,http://csjonline.org/index.php,404.0,"July 15, 2021"
Cellular and Molecular Biology,http://www.cellmolbiol.com/,302.0,"July 15, 2021"
here,http://www.omicsonline.com/open-access/cellular-and-molecular-biology.php,301.0,"July 15, 2021"
Centrum,http://www.centrum.mk/,406.0,"July 15, 2021"
Chemical Science Transactions,http://www.e-journals.in/,200.0,"July 15, 2021"
Chemistry Research Journal,http://chemrj.org/,406.0,"July 15, 2021"
Clinics in Oncology,http://www.clinicsinoncology.com/,200.0,"July 15, 2021"
Clinics in Surgery,http://www.clinicsinsurgery.com/,200.0,"July 15, 2021"
Columban Journal of Life Sciences,http://cjlscience.org/,302.0,"July 15, 2021"
Communications on Applied Electronics,http://www.caeaccess.org/,301.0,"July 15, 2021"
Computational Research Progress in Applied Science & Engineering,http://www.crpase.com/,406.0,"July 15, 2021"
Computer Science Chronicle,http://www.cschronicle.org/,403.0,"July 15, 2021"
Computer Science Journal,http://comsj.org/,302.0,"July 15, 2021"
Contemporary Research in India,http://www.contemporaryresearchindia.net/,200.0,"July 15, 2021"
Contemporary Sociological Global Review,http://www.csgr.syllabapress.us/index.html,200.0,"July 15, 2021"
The Criterion: An International Journal in English,http://www.the-criterion.com/,301.0,"July 15, 2021"
Cumhuriyet Science Journal,http://dergi.cumhuriyet.edu.tr/cumuscij/index,,"July 15, 2021"
DOAJ,https://doaj.org/toc/2587-246X,200.0,"July 15, 2021"
Current Biotica,http://www.currentbiotica.com/,200.0,"July 15, 2021"
Current Botany,http://currentbotany.org/index.php/currbotany/,,"July 15, 2021"
Current Discovery,http://www.ijcdi.com/,301.0,"July 15, 2021"
Current Trends in Technology and Sciences,http://www.ctts.in/,200.0,"July 15, 2021"
DAV International Journal of Science,http://davjournal.com/,301.0,"July 15, 2021"
Dawn Journal,http://thedawnjournal.com/,400.0,"July 15, 2021"
Der Pharma Chemica,http://derpharmachemica.com/,301.0,"July 15, 2021"
Direct Research Journals,http://directresearchjournals.org/index.html,301.0,"July 15, 2021"
Diyala Journal for Pure Science,http://www.sciencesmag.uodiyala.edu.iq/,,"July 15, 2021"
East European Science Journal,http://eesa-journal.com/en/,301.0,"July 15, 2021"
Eastern Academic Journal,http://www.e-acadjournal.org/,200.0,"July 15, 2021"
Eastern European Scientific Journal,http://journale.auris-verlag.de/index.php/EESJ,200.0,"July 15, 2021"
E-Library Science Research Journal,http://lsrj.in/Default1.aspx,200.0,"July 15, 2021"
Ecoforum,http://www.ecoforumjournal.ro/index.php/eco,200.0,"July 15, 2021"
Ecoletra.com Scientific eJournal,http://ebook.ecoletra.com/ecoletra-com-scientific-ejournal,,"July 15, 2021"
Education Reform Journal,http://www.erjournal.org/,404.0,"July 15, 2021"
here,http://dergipark.gov.tr/erjournal,200.0,"July 15, 2021"
DOAJ,https://doaj.org/toc/2602-3997,200.0,"July 15, 2021"
EDUVED Global Management Research,http://egmr.eduved.org/,,"July 15, 2021"
"Eduved, International Journal of Interdisciplinary Research",http://www.eduved.org/,200.0,"July 15, 2021"
Electronic Journal of Biology,http://www.ejbio.com/,302.0,"July 15, 2021"
Electronic Journal of Engineering and Technology,http://www.ejet.org.uk/index.html,,"July 15, 2021"
Electronic Journal of Geotechnical Engineering,http://www.ejge.com/,301.0,"July 15, 2021"
Electronic Journal of Vocational Colleges,http://www.ejovoc.org/default.aspx,406.0,"July 15, 2021"
Elixir International Journal,http://www.elixirpublishers.com/,406.0,"July 15, 2021"
Elixir Online  Journal,http://www.elixirjournal.org/,301.0,"July 15, 2021"
Engineering & IT Journal,http://www.eitjournal.com/,,"July 15, 2021"
Engineering Physics and Thermodynamics Journal,http://djphys.org/,301.0,"July 15, 2021"
Engineering Research Journal,http://www.mnf-eng.com/,301.0,"July 15, 2021"
Entomology and Applied Science Letters,http://easletters.com/,301.0,"July 15, 2021"
ESSENCE: International Journal for Environmental Rehabilitation and Conservation,http://essence-journal.com/,301.0,"July 15, 2021"
Euro-Afro Journal of Arts and Social Sciences,http://euro-afrojournals.com/index.php,,"July 15, 2021"
European Academic Research,http://www.euacademic.org/Default.aspx,301.0,"July 15, 2021"
European Chemical Bulletin,http://www.eurchembull.com/index.php/ECB,302.0,"July 15, 2021"
European Environmental Sciences and Ecology Journal,http://www.eesej.eu/,301.0,"July 15, 2021"
European International Journal of Science and Humanities,http://www.eijsr.org/,200.0,"July 15, 2021"
European International Journal of Science and Technology,http://www.cekinfo.org.uk/EIJST,200.0,"July 15, 2021"
European Journal of Academic Essays,http://euroessays.org/,301.0,"July 15, 2021"
European Journal of Advanced Computer Science,http://eujcs.eu/,301.0,"July 15, 2021"
European Journal of Advances in Engineering & Technology,http://ejaet.com/theme.php?go=home,406.0,"July 15, 2021"
European Journal of Biomedical and Pharmaceutical Sciences,http://www.ejbps.com/,301.0,"July 15, 2021"
European Journal of Biotechnology and Bioscience,http://www.biotechjournal.info/,200.0,"July 15, 2021"
European Journal of Business and Social Sciences,http://www.ejbss.com/home.aspx,302.0,"July 15, 2021"
European Journal of Chemistry,http://www.eurjchem.com/index.php/eurjchem,301.0,"July 15, 2021"
European Journal of Contemporary Economics and Management,http://ejcem.eu/,301.0,"July 15, 2021"
"European Journal of Economics, Finance and Administrative Sciences",http://www.europeanjournalofeconomicsfinanceandadministrativesciences.com/,200.0,"July 15, 2021"
European Journal of Educational Research,http://eurojedu.com/,301.0,"July 15, 2021"
EU-JER journal,https://www.eu-jer.com/,403.0,"July 15, 2021"
European Journal of Educational Sciences,http://www.ejes.eu/,301.0,"July 15, 2021"
European Journal of Engineering Research and Science,http://www.ejers.org/index.php/ejers,301.0,"July 15, 2021"
European Journal of Natural History,http://world-science.ru/euro/,308.0,"July 15, 2021"
European Journal of Pharmaceutical and Medical Research,http://www.ejpmr.com/,301.0,"July 15, 2021"
European Journal of Science and Theology,http://www.ejst.tuiasi.ro/,200.0,"July 15, 2021"
European Journal of Scientific Research,http://www.europeanjournalofscientificresearch.com/,200.0,"July 15, 2021"
European Journal of Social Sciences,http://www.europeanjournalofsocialsciences.com/index.html,200.0,"July 15, 2021"
European Journal of Sustainable Development,http://www.ecsdev.org/,301.0,"July 15, 2021"
European Law and Politics Journal,http://elpjournal.eu/,200.0,"July 15, 2021"
European Online Journal of Natural and Social Sciences,http://european-science.com/eojnss/index,301.0,"July 15, 2021"
European Scientific Journal,http://eujournal.org/index.php/esj,302.0,"July 15, 2021"
Experiment,http://www.experimentjournal.com/,200.0,"July 15, 2021"
First Independent Scientific Journal,http://firjournal.com.ua/,403.0,"July 15, 2021"
FLUIDS: International Journal of Medical Fluid Management,http://www.fluidsjournal.org/,200.0,"July 15, 2021"
Food Biology,http://foodbiology.org/index.php/foodbio/,301.0,"July 15, 2021"
FOREX Technical Journal Library,http://www.forexjournal.co.in/Index.aspx,200.0,"July 15, 2021"
Frontiers in Aerospace Engineering,http://www.fae-journal.org/index.aspx,302.0,"July 15, 2021"
"Functional Analysis: Theory, Method & Applications",http://jfatma.com/index.php,,"July 15, 2021"
G-Journal of Environmental Science and Technology,http://gjestenv.com/,302.0,"July 15, 2021"
"G-Journal of Education, Social Science and Humanities",http://gjestenv.com/,302.0,"July 15, 2021"
Galaxy: International Multidisciplinary Research Journal,http://www.galaxyimrj.com/,301.0,"July 15, 2021"
Genes & Cancer,http://www.impactjournals.com/Genes&Cancer/,301.0,"July 15, 2021"
Generics and Biosimilars Initiative Journal,http://gabi-journal.net/,200.0,"July 15, 2021"
Genetics and Molecular Research,http://www.geneticsmr.com/,301.0,"July 15, 2021"
Geodynamics Research International Bulletin,http://www.geo-dynamica.com/,400.0,"July 15, 2021"
Global Business & Finance Review,http://www.gbfrjournal.org/html/,200.0,"July 15, 2021"
DOAJ,https://doaj.org/toc/2384-1648,200.0,"July 15, 2021"
Global Journal for Research Analysis,http://worldwidejournals.com/gra/,301.0,"July 15, 2021"
Global Journal of Advanced Engineering Technologies and Sciences,http://www.gjaets.com/,406.0,"July 15, 2021"
Global Journal of Advanced Research ,http://www.gjar.org/,200.0,"July 15, 2021"
Global Journal of Animal Scientific Research,http://www.gjasr.com/,403.0,"July 15, 2021"
Global Journal of Business and Social Science,http://www.gjbss.com/,302.0,"July 15, 2021"
Global Journal of Business and Social Science Review,http://www.gjbssr.org/,301.0,"July 15, 2021"
Global Journal of Engineering Science and Research Management,http://www.gjesrm.com/,406.0,"July 15, 2021"
Global Journal of Management Science and Technology,http://gjmst.com/index.htm,301.0,"July 15, 2021"
Global Journal of Medical and Health Sciences,http://globaljmhs.org/,200.0,"July 15, 2021"
Global Journal of Medicine and Public Health,http://www.gjmedph.org/,301.0,"July 15, 2021"
Global Journal of Multidisciplinary Studies,http://www.gjms.co.in/index.php/gjms/index,301.0,"July 15, 2021"
Global Media Journal,http://www.globalmediajournal.com/,301.0,"July 15, 2021"
Golden Research Thoughts,http://aygrt.isrj.org/Default.aspx,200.0,"July 15, 2021"
Global Scholastic Research Journal,http://globalscholasticresearch.org/,,"July 15, 2021"
HCTL Open International Journal of Technology Innovations and Research,http://ijtir.hctl.org/,,"July 15, 2021"
Hiperboreea Journal,http://revistahiperboreea.ro/,301.0,"July 15, 2021"
HortFlora Research Spectrum,http://hortflorajournal.com/,200.0,"July 15, 2021"
Hygeia: Journal for Drugs and Medicines,http://www.hygeiajournal.com/,200.0,"July 15, 2021"
IARS’ International Research Journal,http://www.irj.iars.info/index.php,406.0,"July 15, 2021"
Ideal Journal of Arts and Humanities,http://ijah.truescholar.org/,200.0,"July 15, 2021"
Ideal Journal of Engineering and Applied Sciences,http://ijeas.truescholar.org/,200.0,"July 15, 2021"
Ideal Journal of Economics and Management Sciences,http://ijems.truescholar.org/,200.0,"July 15, 2021"
Ideal Journal of Pure and Applied Sciences,http://ijopas.truescholar.org/,200.0,"July 15, 2021"
Ideal Journal of Education and Policy Studies,http://ijeps.truescholar.org/,200.0,"July 15, 2021"
Ideal Journal of Psychology and Theology,http://ijopat.truescholar.org/,200.0,"July 15, 2021"
Indian Journal of Advanced Nursing,http://ijan.co.in/,200.0,"July 15, 2021"
Indian Journal of Advances in Chemical Science,http://www.ijacskros.com/index.html,406.0,"July 15, 2021"
DOAJ,https://doaj.org/toc/2320-0928,200.0,"July 15, 2021"
Indian Journal of Applied-Basic Medical Sciences,http://www.themedicalacademy.in/,302.0,"July 15, 2021"
Indian Journal of Applied Research,http://www.theglobaljournals.com/ijar/index.php,301.0,"July 15, 2021"
Indian Journal of Drugs,http://drugresearch.in/,301.0,"July 15, 2021"
Indian Journal of Medical Research and Pharmaceutical Sciences,http://www.ijmrps.com/,406.0,"July 15, 2021"
Indian Journal of Natural Sciences,http://tnsroindia.org.in/journals.html,406.0,"July 15, 2021"
JCR,http://mjl.clarivate.com/cgi-bin/jrnlst/jlresults.cgi?PC=MASTER&ISSN=0976-0997,301.0,"July 15, 2021"
Indian Journal of Pharmaceutical and Biological Research,http://ijpbr.in/,302.0,"July 15, 2021"
Indian Journal of Pharmaceutical Science & Research,http://www.ijpsrjournal.com/index.php,406.0,"July 15, 2021"
Indian Journal of Research Anvikshiki,http://www.anvikshikijournal.com/,200.0,"July 15, 2021"
Indian Journal of Research in Pharmacy and Biotechnology,http://www.ijrpb.com/,200.0,"July 15, 2021"
Indian Journal of Scientific Research ,http://www.ijsr.in/index.php,200.0,"July 15, 2021"
Indian Journal of Scientific Research and Technology,http://www.indjsrt.com/,200.0,"July 15, 2021"
Indian Research Journal of Pharmacy and Science,http://irjps.in/,301.0,"July 15, 2021"
Indian Scholar,http://www.indianscholar.co.in/,200.0,"July 15, 2021"
Indian Streams Research Journal,http://isrj.org/Default.aspx,200.0,"July 15, 2021"
Indo American Journal of Pharmaceutical Research,http://www.iajpr.com/,200.0,"July 15, 2021"
Indo American Journal of Pharmaceutical Sciences,http://iajps.com/,301.0,"July 15, 2021"
Indo-Global Journal of Pharmaceutical Sciences,http://iglobaljournal.com/,406.0,"July 15, 2021"
Industrial Science Journal,http://www.industrialscience.org/Default.aspx,200.0,"July 15, 2021"
INFORMATION-An International Interdisciplinary Journal,http://www.information-iii.org/information_journal.html,200.0,"July 15, 2021"
Innovations in Pharmaceuticals and Pharmacotherapy,http://www.innpharmacotherapy.com/Default.aspx,200.0,"July 15, 2021"
Institute of Electrical & Electronics Engineers Advanced Journal,http://www.ieeeaj.com/,302.0,"July 15, 2021"
Integrated Journal of British,http://www.ijbritish.com/,404.0,"July 15, 2021"
Interdisciplinary Journal of Contemporary Research in Business,http://ijcrb.webs.com/,301.0,"July 15, 2021"
Interdisciplinary Journal of Research in Business,http://www.idjrb.com/index.php,302.0,"July 15, 2021"
Interdisciplinary Toxicology,http://www.intertox.sav.sk/,200.0,"July 15, 2021"
Internal Medicine Review,http://internalmedicinereview.org/index.php/imr,301.0,"July 15, 2021"
"International Advanced Research Journal in Science, Engineering and Technology",http://iarjset.com/,301.0,"July 15, 2021"
International Archives of BioMedical and Clinical Research,http://iabcr.org/,302.0,"July 15, 2021"
International Archives of Medicine,http://www.intarchmed.com/,301.0,"July 15, 2021"
International Ayurvedic Medical Journal,http://www.iamj.in/,200.0,"July 15, 2021"
The International Asian Research Journal ,http://www.tiarj.com/,,"July 15, 2021"
International Biology Review,http://journals.ke-i.org/index.php/IBR,301.0,"July 15, 2021"
International Bulletin of Business Administration,http://www.internationalbulletinofbusinessadministration.com/,,"July 15, 2021"
International Cardiovascular Forum,http://icfjournal.org/,200.0,"July 15, 2021"
here,http://journals.sfu.ca/icfj/index.php/icfj/index,302.0,"July 15, 2021"
International Chemistry Review,http://journals.ke-i.org/index.php/icr,301.0,"July 15, 2021"
International Design Journal,http://www.journal.faa-design.com/index.htm,406.0,"July 15, 2021"
International Economic Letters,http://www.ielonline.eu/,301.0,"July 15, 2021"
International Education and Research Journal,http://www.ierj.in/,200.0,"July 15, 2021"
International Educational E-Journal,http://oiirj.org/oiirj/ejournal/,200.0,"July 15, 2021"
International Educational Scientific Research Journal,http://iesrj.com/,301.0,"July 15, 2021"
International Interdisciplinary Journal of Education,http://iijoe.org/,302.0,"July 15, 2021"
International Interdisciplinary Journal of Scientific Research,http://www.iijsr.org/,301.0,"July 15, 2021"
"International Journal & Magazine of Engineering, Technology, Management and Research",http://www.ijmetmr.com/,200.0,"July 15, 2021"
International Journal Advances in Social Science and Humanities ,http://www.ijassh.com/index.php,406.0,"July 15, 2021"
International Journal and Bulletin of Multidisciplinary Research,http://www.ijnmr.com/,302.0,"July 15, 2021"
International Journal for Advanced Review and Research in Pharmacy,http://www.ijarrp.com/,200.0,"July 15, 2021"
International Journal for Development of Computer Science and Technology,http://ijdcst.com/Default.aspx,200.0,"July 15, 2021"
International Journal for Innovation Education and Research,http://www.ijier.net/,301.0,"July 15, 2021"
International Journal for Innovative Research in Multidisciplinary Field,http://ijirmf.com/,301.0,"July 15, 2021"
International Journal for Innovative Research in Science and Technology,http://www.ijirst.org/,301.0,"July 15, 2021"
International Journal for Modern Trends in Science and Technology,http://www.ijmtst.com/index.html,,"July 15, 2021"
International Journal for Pharmaceutical Research Scholars,http://www.ijprs.com/,301.0,"July 15, 2021"
International Journal for Research & Development in Technology,http://ijrdt.org/,200.0,"July 15, 2021"
International Journal for Research in Applied Science and Engineering Technology,http://www.ijraset.com/,301.0,"July 15, 2021"
International Journal for Research in Emerging Science and Technology,http://ijrest.net/,301.0,"July 15, 2021"
International Journal for Research in Engineering Application & Management,http://www.ijream.org/,406.0,"July 15, 2021"
International Journal for Scientific Research & Development,http://www.ijsrd.com/,301.0,"July 15, 2021"
International Journal for Technological Research in Engineering,http://www.ijtre.com/home/,406.0,"July 15, 2021"
International Journal of Abdominal Research,http://blackhorse.nazwa.pl/public_html/ojs/index.php/ijar,200.0,"July 15, 2021"
International Journal of Academic Research,http://www.ijar.org.in/index.php,200.0,"July 15, 2021"
International Journal of Academic Studies,http://www.ijacademicstudies.com/,200.0,"July 15, 2021"
International Journal of Advance Computing Techniques and Applications,http://www.ijacta.com/index.php/ojs,301.0,"July 15, 2021"
International Journal of Advance Engineering and Research Development,http://www.ijaerd.com/,200.0,"July 15, 2021"
International Journal of Advance Foundation and Research in Computer,http://www.ijafrc.org/,403.0,"July 15, 2021"
International Journal of Advance Foundation and Research in Science and Engineering,http://ijafrse.org/,403.0,"July 15, 2021"
International Journal of Advance Research and Innovation,http://www.ijari.org/,406.0,"July 15, 2021"
